label,mean amplitude [pV],std amplitude [pV]
Mock,3238364893.2199025,1213718823.1528215
SARS-CoV-2,3288107453.530742,1164074016.4088557
Stachel-treated SARS-CoV-2,3458428541.79755,1604208636.9794788
